,category_id,name
0,6b5e506e-22f1-4bdc-bbbb-5f286566ce96,DeFi
1,cd1983ac-f339-4e66-9278-6e05a682b6d5,Infrastructure
2,df5e8880-9d6f-412c-adab-d61fc242e0d3,Greater Good / Political
3,1c53c9d8-5a64-4e4d-9845-cf3a03976a47,Media & Communications
4,9d644dba-e5b4-4cd9-aacd-57b926067147,Gaming
5,9137eb61-ce09-4391-aa22-f23fce0cc662,Art & Culture
6,3b36a92c-1b3a-4ab4-9bcf-b54e00240529,DAO Tool
7,b0ec5a90-63b7-4e1f-8a87-5e48cedfd105,Investments
8,738d3b6e-03f1-4f34-b5f4-18d9821e83e7,Work & Hire
9,1011857f-9223-480d-a67b-5b74890f1111,NFTs
10,84f710d8-5ad0-4996-9f8a-a345d58b1b15,Physical Assets
